2014 174 0000
-0.31090-0.05921 0.19813 1.46690 1.43940
-0.31074-0.05907 0.19822 1.46690 1.43940
-0.31139-0.05919 0.19750 1.46690 1.43940
-0.31140-0.05891 0.19786 1.46690 1.43940
2014 174 0120
-0.31107-0.05902 0.19804 1.46690 1.43940
-0.31134-0.05936 0.19708 1.46690 1.43940
-0.31140-0.06004 0.19885 1.46690 1.43940
-0.31071-0.06045 0.19976 1.46690 1.43940
-0.31109-0.06045 0.19924 1.46690 1.43940
-0.31052-0.06099 0.19905 1.46690 1.43940
-0.31017-0.06069 0.19796 1.46670 1.43940
-0.30946-0.05966 0.19805 1.46670 1.43940
-0.30979-0.05985 0.19790 1.46670 1.43940
-0.30963-0.05925 0.19741 1.46670 1.43940
-0.30929-0.05922 0.19704 1.46670 1.43940
-0.30923-0.05898 0.19686 1.46670 1.43940
-0.30894-0.05873 0.19668 1.46670 1.43940
-0.30850-0.05874 0.19521 1.46670 1.43940
-0.30830-0.05781 0.19484 1.46670 1.43940
-0.30789-0.05827 0.19550 1.46670 1.43940
-0.30792-0.05758 0.19475 1.46670 1.43940
-0.30758-0.05747 0.19474 1.46670 1.43940
-0.30746-0.05747 0.19532 1.46670 1.43940
-0.30677-0.05773 0.19367 1.46670 1.43940
-0.30676-0.05726 0.19556 1.46670 1.43940
-0.30638-0.05715 0.19562 1.46670 1.43940
-0.30602-0.05733 0.19550 1.46670 1.43940
-0.30645-0.05768 0.19295 1.46670 1.43940
-0.30562-0.05706 0.19513 1.46670 1.43940
-0.30595-0.05734 0.19321 1.46670 1.43940
-0.30584-0.05709 0.19447 1.46690 1.43940
-0.30509-0.05759 0.19309 1.46690 1.43940
-0.30494-0.05780 0.19295 1.46690 1.43940
-0.30472-0.05689 0.19184 1.46690 1.43940
-0.30472-0.05711 0.19136 1.46690 1.43940
-0.30463-0.05679 0.19163 1.46690 1.43940
-0.30405-0.05626 0.19143 1.46690 1.43940
-0.30342-0.05619 0.18975 1.46690 1.43940
-0.30358-0.05530 0.18969 1.46690 1.43940
-0.30348-0.05507 0.18910 1.46690 1.43940
-0.30257-0.05490 0.18880 1.46690 1.43940
-0.30212-0.05450 0.18932 1.46690 1.43940
-0.30235-0.05445 0.18804 1.46690 1.43940
-0.30208-0.05428 0.18663 1.46690 1.43940
-0.30216-0.05376 0.18676 1.46690 1.43940
-0.30205-0.05442 0.18877 1.46690 1.43940
-0.30186-0.05493 0.18814 1.46690 1.43940
-0.30174-0.05447 0.19005 1.46690 1.43940
-0.30142-0.05439 0.18817 1.46690 1.43940
-0.30168-0.05479 0.18681 1.46690 1.43940
-0.30133-0.05522 0.18915 1.46690 1.43940
-0.30162-0.05507 0.18919 1.46690 1.43940
-0.30124-0.05540 0.18918 1.46690 1.43940
-0.30123-0.05547 0.18649 1.46690 1.43940
-0.30150-0.05575 0.18948 1.46690 1.43940
-0.30178-0.05584 0.18767 1.46690 1.43940
-0.30229-0.05611 0.18873 1.46690 1.43940
-0.30190-0.05587 0.19132 1.46690 1.43940
-0.30209-0.05608 0.18890 1.46690 1.43940
-0.30242-0.05606 0.18978 1.46690 1.43940
-0.30237-0.05617 0.19101 1.46690 1.43940
-0.30204-0.05614 0.18993 1.46690 1.43940
-0.30224-0.05554 0.19041 1.46690 1.43940
-0.30278-0.05525 0.18976 1.46690 1.43940
2014 174 0180
-0.30232-0.05488 0.18834 1.46690 1.43940
-0.30280-0.05531 0.19126 1.46690 1.43940
-0.30379-0.05472 0.19108 1.46670 1.43940
-0.30383-0.05511 0.19037 1.46690 1.43940
-0.30362-0.05541 0.19333 1.46690 1.43940
-0.30369-0.05490 0.19141 1.46690 1.43940
-0.30384-0.05521 0.19104 1.46690 1.43940
-0.30404-0.05547 0.19353 1.46690 1.43940
-0.30462-0.05564 0.19164 1.46690 1.43940
-0.30431-0.05576 0.19602 1.46690 1.43940
-0.30445-0.05607 0.19357 1.46690 1.43940
-0.30434-0.05665 0.19600 1.46690 1.43940
-0.30419-0.05614 0.19512 1.46690 1.43940
-0.30427-0.05579 0.19370 1.46690 1.43940
-0.30455-0.05598 0.19666 1.46690 1.43940
-0.30458-0.05613 0.19403 1.46690 1.43940
-0.30467-0.05582 0.19592 1.46690 1.43940
-0.30461-0.05594 0.19508 1.46690 1.43940
-0.30452-0.05598 0.19304 1.46700 1.43940
-0.30408-0.05607 0.19371 1.46690 1.43940
-0.30360-0.05623 0.19173 1.46690 1.43940
-0.30360-0.05568 0.19369 1.46700 1.43940
-0.30348-0.05583 0.19533 1.46700 1.43940
-0.30315-0.05559 0.19369 1.46690 1.43940
-0.30319-0.05528 0.19260 1.46690 1.43940
-0.30363-0.05537 0.19231 1.46690 1.43940
-0.30337-0.05514 0.19478 1.46690 1.43940
-0.30299-0.05534 0.19253 1.46690 1.43940
-0.30290-0.05426 0.19139 1.46690 1.43940
-0.30284-0.05379 0.19184 1.46690 1.43940
-0.30295-0.05426 0.19286 1.46670 1.43940
-0.30218-0.05444 0.19176 1.46670 1.43940
-0.30283-0.05409 0.19222 1.46670 1.43940
-0.30217-0.05422 0.19419 1.46670 1.43940
-0.30233-0.05409 0.19212 1.46670 1.43940
-0.30256-0.05415 0.19111 1.46670 1.43940
-0.30247-0.05438 0.19230 1.46670 1.43940
-0.30169-0.05424 0.19395 1.46670 1.43940
-0.30215-0.05426 0.19281 1.46670 1.43940
-0.30140-0.05441 0.19393 1.46670 1.43940
-0.30107-0.05432 0.19321 1.46670 1.43940
-0.30188-0.05420 0.19135 1.46670 1.43940
-0.30195-0.05438 0.19373 1.46670 1.43940
-0.30229-0.05440 0.19489 1.46670 1.43940
-0.30206-0.05484 0.19530 1.46670 1.43940
-0.30124-0.05485 0.19452 1.46670 1.43940
-0.30167-0.05525 0.19437 1.46670 1.43940
-0.30158-0.05551 0.19280 1.46670 1.43940
-0.30114-0.05486 0.19303 1.46670 1.43940
-0.30120-0.05501 0.19257 1.46670 1.43940
-0.30066-0.05480 0.19357 1.46690 1.43940
-0.30042-0.05506 0.19304 1.46670 1.43940
-0.30050-0.05521 0.19427 1.46690 1.43940
-0.30109-0.05449 0.19413 1.46690 1.43940
-0.30094-0.05460 0.19477 1.46690 1.43940
-0.30089-0.05409 0.19564 1.46690 1.43940
-0.30080-0.05442 0.19249 1.46690 1.43940
-0.30095-0.05529 0.19448 1.46690 1.43940
-0.30085-0.05515 0.19422 1.46690 1.43940
-0.30078-0.05499 0.19419 1.46690 1.43940
2014 174 0240
-0.30061-0.05505 0.19637 1.46690 1.43940
-0.30035-0.05511 0.19588 1.46690 1.43940
-0.30064-0.05493 0.19669 1.46690 1.43940
-0.30074-0.05515 0.19569 1.46690 1.43940
-0.30029-0.05473 0.19611 1.46700 1.43940
-0.30036-0.05469 0.19803 1.46700 1.43940
-0.30049-0.05467 0.19872 1.46690 1.43940
-0.30048-0.05479 0.19612 1.46690 1.43940
-0.30073-0.05469 0.19602 1.46690 1.43940
-0.30050-0.05543 0.19822 1.46690 1.43940
-0.30125-0.05528 0.19658 1.46690 1.43940
-0.30154-0.05558 0.19855 1.46690 1.43940
-0.30166-0.05555 0.19902 1.46690 1.43940
-0.30134-0.05529 0.19778 1.46690 1.43940
-0.30128-0.05531 0.20135 1.46690 1.43940
-0.30123-0.05566 0.19864 1.46690 1.43940
-0.30087-0.05610 0.19805 1.46690 1.43940
-0.30092-0.05543 0.19395 1.46690 1.43940
-0.30055-0.05551 0.19699 1.46690 1.43940
-0.30112-0.05564 0.19482 1.46690 1.43940
-0.30073-0.05544 0.19876 1.46690 1.43940
-0.30018-0.05560 0.19884 1.46690 1.43940
-0.30025-0.05563 0.19573 1.46690 1.43940
-0.30006-0.05607 0.19727 1.46690 1.43940
-0.30029-0.05600 0.19741 1.46690 1.43940
-0.29980-0.05557 0.19658 1.46700 1.43940
-0.29951-0.05615 0.19591 1.46700 1.43940
-0.29965-0.05565 0.19642 1.46700 1.43940
-0.29960-0.05633 0.19817 1.46700 1.43940
-0.29928-0.05714 0.19812 1.46700 1.43940
-0.29887-0.05646 0.19846 1.46700 1.43940
-0.29863-0.05696 0.19658 1.46700 1.43940
-0.29816-0.05618 0.19653 1.46700 1.43940
-0.29840-0.05558 0.19386 1.46700 1.43940
-0.29837-0.05579 0.19591 1.46700 1.43940
-0.29820-0.05560 0.19448 1.46700 1.43940
-0.29858-0.05607 0.19358 1.46700 1.43940
-0.29865-0.05656 0.19903 1.46700 1.43940
-0.29836-0.05557 0.19427 1.46700 1.43960
-0.29763-0.05549 0.19222 1.46700 1.43940
-0.29736-0.05593 0.19347 1.46700 1.43940
-0.29671-0.05582 0.19302 1.46700 1.43940
-0.29675-0.05544 0.19426 1.46700 1.43940
-0.29700-0.05578 0.19113 1.46700 1.43940
-0.29665-0.05546 0.19269 1.46700 1.43940
-0.29599-0.05533 0.19129 1.46700 1.43940
-0.29616-0.05483 0.19077 1.46700 1.43940
-0.29510-0.05448 0.19149 1.46700 1.43940
-0.29591-0.05502 0.19201 1.46700 1.43940
-0.29502-0.05439 0.19329 1.46700 1.43940
-0.29421-0.05520 0.19033 1.46690 1.43940
-0.29349-0.05456 0.18799 1.46690 1.43940
-0.29335-0.05453 0.18753 1.46690 1.43940
-0.29304-0.05413 0.18912 1.46690 1.43940
-0.29274-0.05497 0.18814 1.46690 1.43940
-0.29217-0.05491 0.18610 1.46690 1.43940
-0.29175-0.05565 0.18682 1.46690 1.43940
-0.29136-0.05564 0.18657 1.46690 1.43940
-0.29108-0.05565 0.18510 1.46690 1.43940
-0.29099-0.05537 0.18681 1.46670 1.43940
2014 174 0300
-0.28997-0.05529 0.18758 1.46690 1.43940
-0.28962-0.05499 0.18393 1.46690 1.43940
-0.28957-0.05531 0.18399 1.46690 1.43940
-0.28898-0.05548 0.18244 1.46690 1.43940
-0.28908-0.05535 0.18506 1.46690 1.43940
-0.28901-0.05514 0.18633 1.46690 1.43940
-0.28966-0.05522 0.18597 1.46690 1.43940
-0.28882-0.05571 0.18543 1.46690 1.43940
-0.28887-0.05577 0.18538 1.46690 1.43940
-0.28826-0.05537 0.18436 1.46690 1.43940
-0.28807-0.05550 0.18328 1.46690 1.43940
-0.28763-0.05440 0.18314 1.46690 1.43940
-0.28706-0.05435 0.18390 1.46690 1.43940
-0.28769-0.05375 0.18049 1.46690 1.43940
-0.28710-0.05395 0.18066 1.46700 1.43940
-0.28750-0.05364 0.18171 1.46690 1.43940
-0.28736-0.05296 0.18109 1.46690 1.43940
-0.28751-0.05328 0.18118 1.46690 1.43940
-0.28730-0.05327 0.17982 1.46690 1.43940
-0.28720-0.05396 0.17751 1.46690 1.43940
-0.28658-0.05319 0.17935 1.46690 1.43940
-0.28639-0.05336 0.17802 1.46690 1.43940
-0.28631-0.05317 0.17543 1.46690 1.43940
-0.28544-0.05211 0.17252 1.46690 1.43940
-0.28521-0.05237 0.17328 1.46670 1.43940
-0.28474-0.05190 0.17131 1.46670 1.43940
-0.28440-0.05172 0.17166 1.46670 1.43940
-0.28330-0.05215 0.17008 1.46670 1.43940
-0.28277-0.05210 0.16909 1.46670 1.43940
-0.28230-0.05209 0.16866 1.46670 1.43940
-0.28226-0.05192 0.16721 1.46660 1.43940
-0.28245-0.05108 0.16659 1.46660 1.43940
-0.28103-0.05085 0.16701 1.46660 1.43940
-0.28094-0.05075 0.16514 1.46660 1.43940
-0.28027-0.05037 0.16245 1.46660 1.43940
-0.28005-0.04930 0.16412 1.46660 1.43940
-0.27969-0.04921 0.16231 1.46660 1.43940
-0.27886-0.04901 0.16043 1.46660 1.43940
-0.27884-0.04808 0.15920 1.46660 1.43940
-0.27846-0.04734 0.15895 1.46660 1.43940
-0.27786-0.04699 0.15908 1.46660 1.43940
-0.27786-0.04614 0.15864 1.46660 1.43940
-0.27716-0.04559 0.15715 1.46660 1.43940
-0.27670-0.04501 0.15561 1.46660 1.43940
-0.27604-0.04418 0.15375 1.46660 1.43940
-0.27601-0.04311 0.15242 1.46670 1.43940
-0.27510-0.04179 0.15221 1.46660 1.43940
-0.27444-0.04161 0.14889 1.46660 1.43940
-0.27405-0.04035 0.15009 1.46660 1.43940
-0.27390-0.03938 0.14699 1.46660 1.43940
-0.27263-0.03753 0.14663 1.46660 1.43940
-0.27149-0.03638 0.14473 1.46660 1.43940
-0.27166-0.03602 0.14771 1.46660 1.43940
-0.27061-0.03494 0.14157 1.46660 1.43940
-0.26998-0.03404 0.14007 1.46660 1.43940
-0.27049-0.03360 0.14267 1.46660 1.43940
-0.26971-0.03259 0.14158 1.46660 1.43940
-0.26818-0.03210 0.13736 1.46660 1.43940
-0.26763-0.03088 0.13950 1.46660 1.43940
-0.26643-0.02993 0.13899 1.46660 1.43940
2014 174 0360
-0.26599-0.02888 0.13662 1.46660 1.43940
